0,1,-1,-1,-1,-1
1,0,2,-1,-1,-1
2,1,3,-1,-1,-1
3,2,14,4,-1,-1
4,3,5,31,-1,-1
5,4,6,10,-1,-1
6,5,7,43,-1,-1
7,6,8,10,-1,-1
8,7,9,-1,-1,-1
9,8,11,13,-1,-1
10,5,11,7,-1,-1
11,10,12,9,-1,-1
12,11,25,13,-1,-1
13,12,26,9,-1,-1
14,3,15,-1,-1,-1
15,14,16,-1,-1,-1
16,15,17,-1,-1,-1
17,16,18,-1,-1,-1
18,17,19,25,-1,-1
19,18,20,-1,-1,-1
20,19,21,-1,-1,-1
21,20,24,22,-1,-1
22,21,23,-1,-1,-1
23,22,-1,-1,-1,-1
24,21,-1,-1,-1,-1
25,12,18,-1,-1,-1
26,13,27,-1,-1,-1
27,26,28,-1,-1,-1
28,27,29,-1,-1,-1
29,28,30,-1,-1,-1
30,29,-1,-1,-1,-1
31,4,32,-1,-1,-1
32,31,33,-1,-1,-1
33,32,50,-1,-1,-1
34,43,35,-1,-1,-1
35,34,36,-1,-1,-1
36,35,37,-1,-1,-1
37,36,38,-1,-1,-1
38,37,39,-1,-1,-1
39,38,40,-1,-1,-1
40,39,41,-1,-1,-1
41,40,42,-1,-1,-1
42,41,-1,-1,-1,-1
43,44,6,34,-1,-1
44,45,43,-1,-1,-1
45,46,44,-1,-1,-1
46,47,45,-1,-1,-1
47,48,46,-1,-1,-1
48,49,47,-1,-1,-1
49,50,51,48,-1,-1
50,33,49,-1,-1,-1
51,49,-1,-1,-1,-1
